pixel,1432A,1437A,1442A,1447A,1452A,1457A,1462A,1467A,1472A,1477A,1482A,1487A,1492A,1497A,1502A,1507A,1512A,1517A,1522A,1527A,1532A,1537A,1542A,1547A,1552A,1557A,1562A,1567A,1572A,1577A,1582A,1587A,1592A,1597A,1602A,1625A,1630A,1635A,1640A,1645A,1650A,1655A,1660A,1665A,1670A,1675A,1680A,1685A,1690A,1695A,1700A,1705A,1710A,1715A,1720A,1725A,1730A,1735A,1740A,1745A,1750A,1755A,1760A,1765A,1770A,1775A,1780A,1785A,1790A,1795A
1	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2	6.729859368218721e-06 6.7308956846381845e-06 6.794495585158115e-06 6.732698632921314e-06 6.693582855587104e-06 6.720559829939341e-06 6.681640120051941e-06 6.440052146740794e-06 6.393667962612763e-06 6.483317322247553e-06 6.6322042598734545e-06 6.485355124022433e-06 6.5857788896437125e-06 6.518304440680408e-06 6.620515841194893e-06 6.559835110801468e-06 6.7938703984316775e-06 6.881721275503713e-06 6.650913033301971e-06 6.8291215802105736e-06 6.936361266622756e-06 6.8334068361815195e-06 6.916755987973021e-06 7.009493874038759e-06 6.961411466379471e-06 7.146286585321551e-06 7.162339727959568e-06 7.211139067376707e-06 7.144907581664128e-06 7.269374200490881e-06 7.253856448872508e-06 7.369196838911982e-06 7.171344648519524e-06 7.3107282961677755e-06 7.3505151272974345e-06 7.752238386765065e-06 7.597816701540004e-06 7.522459961015747e-06 7.552926342187987e-06 7.297603078030048e-06 7.4753131712749484e-06 7.499252997496359e-06 7.2698895328327285e-06 7.5615723938492546e-06 7.558982424085891e-06 7.82043693978633e-06 7.341300737609671e-06 7.383156726638955e-06 7.283391210086115e-06 7.298719755015722e-06 7.444196702218453e-06 7.348272790890396e-06 7.302186942964902e-06 7.25335334119828e-06 7.2116954794641335e-06 7.420498351727984e-06 7.193675595777815e-06 7.326451666517956e-06 7.253500382092156e-06 7.163718251254801e-06 7.261209922679996e-06 7.131826267533913e-06 7.2572466415411175e-06 7.257682388829197e-06 7.328620625849414e-06 7.315882239414613e-06 7.6025271068484826e-06 7.630796147865014e-06 7.67529849615151e-06 7.648048941900832e-06
3	6.85570801752786e-06 6.882052289120327e-06 6.903598726862175e-06 6.839884038041115e-06 6.78374623169113e-06 6.844391719081482e-06 6.8142295696379445e-06 6.56116226480353e-06 6.590819315193689e-06 6.6284490211800315e-06 6.813901176368578e-06 6.658280102598369e-06 6.7605561727079924e-06 6.6808729820648026e-06 6.737335402996785e-06 6.714774504126179e-06 6.851330799093533e-06 6.969018887614363e-06 6.7723678788990885e-06 6.869504244281243e-06 6.9590208079429065e-06 6.843861544173243e-06 6.9327081253581885e-06 6.9904418410924855e-06 6.925620264994906e-06 7.105725128098212e-06 7.221996383796011e-06 7.208881440649577e-06 7.17163620522285e-06 7.2902109713465044e-06 7.274508175962647e-06 7.477689024196951e-06 7.17955622333818e-06 7.251261608230119e-06 7.275493455020188e-06 7.794376115046221e-06 7.65505768070327e-06 7.611611844634463e-06 7.660446409281798e-06 7.4579167547783985e-06 7.610351973238972e-06 7.70982097657852e-06 7.382840202764883e-06 7.643906119767907e-06 7.673335145024674e-06 7.893017231069787e-06 7.454559194384928e-06 7.53218498510725e-06 7.40916756620613e-06 7.381755736347883e-06 7.519608176185534e-06 7.428961670525929e-06 7.386230823252403e-06 7.368161452452432e-06 7.38418283345432e-06 7.623917856597091e-06 7.34375262666335e-06 7.523434186850738e-06 7.422178723419538e-06 7.356613003004133e-06 7.488826123126491e-06 7.340621949734506e-06 7.412203907869837e-06 7.383822619203911e-06 7.4330762255493e-06 7.38839249117786e-06 7.641419727416284e-06 7.730042247579237e-06 7.688870202410344e-06 7.794657672043507e-06
4	6.943121252919215e-06 6.9759159629765245e-06 6.965085069963719e-06 6.9457905442447985e-06 6.880968018879399e-06 6.942330966744572e-06 6.945443515280294e-06 6.706108432178719e-06 6.795623957105093e-06 6.7465855264423885e-06 6.94898613847723e-06 6.806364442237698e-06 6.912763143362559e-06 6.84598977062882e-06 6.8314933259101555e-06 6.83960314775799e-06 6.907627644075003e-06 7.026172290635998e-06 6.8694864785764046e-06 6.900812607114552e-06 6.991177607809427e-06 6.866131343003425e-06 6.945263010357107e-06 6.987741641454401e-06 6.901553512609838e-06 7.056939586113113e-06 7.256097926976747e-06 7.210170060609596e-06 7.204048600927726e-06 7.30833973905923e-06 7.307535738403203e-06 7.525052817227976e-06 7.1788952696956365e-06 7.160941431904942e-06 7.227601289402955e-06 7.79331751762987e-06 7.676376878047876e-06 7.671732415043102e-06 7.749676573082034e-06 7.585756078002193e-06 7.69687738692377e-06 7.865120910342234e-06 7.479295241493404e-06 7.685533929607155e-06 7.756541698992388e-06 7.921954421294271e-06 7.561072858629755e-06 7.63259970143527e-06 7.532156387159902e-06 7.461433502318338e-06 7.586508146624183e-06 7.5449333530714715e-06 7.498348963940841e-06 7.5092345479994795e-06 7.521163114149206e-06 7.79848001032634e-06 7.501338831729449e-06 7.698241696976645e-06 7.58521730452437e-06 7.53328626024667e-06 7.640782060622408e-06 7.507030284128891e-06 7.53213829860585e-06 7.4668982867282725e-06 7.514704641315714e-06 7.5179430982916655e-06 7.699563589474647e-06 7.8005082991005e-06 7.717853622637412e-06 7.928823690598565e-06
5	7.01139318670082e-06 7.056054483324689e-06 7.025110419390674e-06 7.057714358173225e-06 7.005105870837926e-06 7.0395658331504885e-06 7.091181259724073e-06 6.884135898836327e-06 7.011168163269378e-06 6.868877967026371e-06 7.082615754374968e-06 6.9697196406648044e-06 7.078896063519466e-06 7.01646510905272e-06 6.9296605008790425e-06 6.966056208749366e-06 6.996111090554388e-06 7.064736924238067e-06 6.957290098996453e-06 6.955044820305005e-06 7.036228041640732e-06 6.918298120537118e-06 6.985501550913983e-06 7.019948258206189e-06 6.905735386123679e-06 6.998982220139384e-06 7.266662655731029e-06 7.22386190464958e-06 7.241883335150036e-06 7.330750601447504e-06 7.3547355272284785e-06 7.545361829123896e-06 7.172492932179409e-06 7.0853279587933e-06 7.2143503523117e-06 7.792701852816622e-06 7.69175061933399e-06 7.709718972216446e-06 7.839871985372288e-06 7.703388547920645e-06 7.780614384721487e-06 7.977895117536923e-06 7.587747090420595e-06 7.718527656231874e-06 7.836587365680749e-06 7.953215699735034e-06 7.685642295466652e-06 7.740878555116717e-06 7.684459209889288e-06 7.575041140132694e-06 7.685072886330648e-06 7.706285232774186e-06 7.670616943848138e-06 7.667276104807455e-06 7.651852228523198e-06 7.959220381895802e-06 7.666223197579216e-06 7.877803805943187e-06 7.759143819417208e-06 7.717679724654818e-06 7.774157792917411e-06 7.66518204988265e-06 7.678046643910304e-06 7.554290374588261e-06 7.606158145596565e-06 7.70113085265622e-06 7.78278783772889e-06 7.8531245358187e-06 7.822013907721548e-06 8.067878645956657e-06
6	7.049271642763858e-06 7.1130183670902486e-06 7.08247414413348e-06 7.14201852441907e-06 7.143188941259365e-06 7.1289130330684e-06 7.228327312846874e-06 7.063203740742691e-06 7.1989132198231555e-06 6.994552063136699e-06 7.2068173239849625e-06 7.1389532390538155e-06 7.237536227091042e-06 7.148702164350559e-06 7.032925663313289e-06 7.096332764388738e-06 7.106989518230378e-06 7.096932841944128e-06 7.046611229902785e-06 7.032624482395483e-06 7.088137870582008e-06 7.003924746812797e-06 7.052636035167923e-06 7.0866649784747e-06 6.956591024186498e-06 6.9627651443054785e-06 7.253835991400486e-06 7.250099802788587e-06 7.2771622247115955e-06 7.353066398394571e-06 7.405234483180867e-06 7.530325085596085e-06 7.176680861599122e-06 7.0668246863450065e-06 7.2379929839983135e-06 7.797052690501727e-06 7.697946161597094e-06 7.708821050612382e-06 7.91289934984648e-06 7.797031481072496e-06 7.85467383860382e-06 8.02930423419633e-06 7.708762756347209e-06 7.762410286349697e-06 7.924094304466187e-06 8.001798638047103e-06 7.82458951060091e-06 7.864613035126998e-06 7.854868918000233e-06 7.733139034348323e-06 7.819235725675386e-06 7.89555351669827e-06 7.887752493590977e-06 7.818308746045652e-06 7.777973400214967e-06 8.079082259722166e-06 7.825252430946223e-06 8.038710784046302e-06 7.927588178864658e-06 7.898325794009497e-06 7.909924074795794e-06 7.816906056597137e-06 7.858758208811382e-06 7.665599993484224e-06 7.722702820754689e-06 7.915512857888534e-06 7.883752720693385e-06 7.910210569121375e-06 8.013401684044184e-06 8.219960503291483e-06
7	7.0661460474049155e-06 7.151730330353129e-06 7.136651950129558e-06 7.188333820933119e-06 7.279732416562013e-06 7.226744369712149e-06 7.352912934303605e-06 7.221970924830248e-06 7.349759764210414e-06 7.13931023952018e-06 7.330488888411778e-06 7.308040663920698e-06 7.379380609168446e-06 7.247603273532877e-06 7.156261273446621e-06 7.2466618867944276e-06 7.229665983996247e-06 7.160649896496811e-06 7.158537739694127e-06 7.128691020312905e-06 7.146777157171582e-06 7.1144481794515655e-06 7.13332995428964e-06 7.17771996890236e-06 7.059895000469276e-06 6.981635036610984e-06 7.240810706233395e-06 7.29159704859342e-06 7.308235765489777e-06 7.376882363897241e-06 7.4459227585271695e-06 7.486428219311105e-06 7.210835479453942e-06 7.129360371608626e-06 7.287932590430498e-06 7.805404376692153e-06 7.692517089892313e-06 7.68291922960219e-06 7.963662440969988e-06 7.863260249253064e-06 7.927008124345525e-06 8.053640435511446e-06 7.845800120394167e-06 7.841364810991149e-06 8.036347445884049e-06 8.083855865684824e-06 7.971656169032909e-06 8.018313623761484e-06 8.024093051035127e-06 7.936838607196428e-06 7.977645186716752e-06 8.0807399895647e-06 8.115938869760492e-06 7.952042233673338e-06 7.921310260768018e-06 8.170661711968319e-06 7.994701884177083e-06 8.18140131873018e-06 8.096683151735517e-06 8.08687131825822e-06 8.081467955394913e-06 7.98713028192569e-06 8.083393280659085e-06 7.817769235555375e-06 7.899623303973424e-06 8.137518059618469e-06 8.003566393692816e-06 8.014174402638713e-06 8.263351748768623e-06 8.400814828302639e-06
8	7.068829736964959e-06 7.176939575586131e-06 7.175290670436126e-06 7.210876462317485e-06 7.397473526711013e-06 7.348129083184271e-06 7.4670835961214e-06 7.349325045997971e-06 7.468709776493491e-06 7.307170380153061e-06 7.459096259554347e-06 7.461791822895609e-06 7.497686561834752e-06 7.349108923013824e-06 7.30468557348221e-06 7.415721250829879e-06 7.361878909198076e-06 7.2795295489375185e-06 7.295722899636424e-06 7.234741624632423e-06 7.222058625394662e-06 7.238192813123175e-06 7.217245617064644e-06 7.290389312715671e-06 7.207925594536738e-06 7.0661560960479185e-06 7.260551644230015e-06 7.358130343942357e-06 7.341155904551543e-06 7.409784564408943e-06 7.4718945469050885e-06 7.432534159240151e-06 7.286418321981789e-06 7.268188905300897e-06 7.3562288083683936e-06 7.805096556118638e-06 7.67425618243703e-06 7.654697161869307e-06 7.994849070513007e-06 7.905317479033258e-06 8.006835892793143e-06 8.090313536657736e-06 7.99171158817121e-06 7.958690656774663e-06 8.174192463198692e-06 8.199432897118626e-06 8.110061857642367e-06 8.192315354685672e-06 8.166513202234643e-06 8.160069047325774e-06 8.133801148330203e-06 8.235253092129031e-06 8.318550142145107e-06 8.06860900434847e-06 8.100100257662482e-06 8.268970256025559e-06 8.18972066047395e-06 8.316779874443827e-06 8.276730668808503e-06 8.293639308100084e-06 8.294248358047805e-06 8.19527304819365e-06 8.3514128870532e-06 8.00807578859816e-06 8.157684836107446e-06 8.354245743220003e-06 8.154566946754087e-06 8.188882876156982e-06 8.522297535961813e-06 8.604490032579174e-06
9	7.063499671327869e-06 7.200311941351449e-06 7.19439632818884e-06 7.234250740227981e-06 7.4895879628914645e-06 7.484399779240164e-06 7.570422777468207e-06 7.4494825406848195e-06 7.570735043375274e-06 7.486207622780997e-06 7.595025062101283e-06 7.597234147640727e-06 7.607963426415884e-06 7.4806028344218825e-06 7.474269484264028e-06 7.5951374204280135e-06 7.509478602405425e-06 7.447504898822372e-06 7.452790408919673e-06 7.35380118381353e-06 7.332488361630148e-06 7.370318795715184e-06 7.308377378873151e-06 7.431244835743708e-06 7.381055155955687e-06 7.203849389146803e-06 7.346137307917757e-06 7.459438667023611e-06 7.395834511620117e-06 7.45967330373205e-06 7.496222530712029e-06 7.4058490457133e-06 7.392954456262545e-06 7.444859294703136e-06 7.434029244051779e-06 7.784695256229365e-06 7.65305042963416e-06 7.641660112937467e-06 8.018647278101774e-06 7.94576050676734e-06 8.097499316896556e-06 8.160996972049202e-06 8.131930911119407e-06 8.09881945602108e-06 8.318526535796606e-06 8.333076606786762e-06 8.233750787763362e-06 8.367224265897468e-06 8.276899365309826e-06 8.366917449492742e-06 8.272751948698604e-06 8.367795210382169e-06 8.483812079582523e-06 8.18526732059297e-06 8.320833864023446e-06 8.411197461488183e-06 8.415666367467275e-06 8.465076695121756e-06 8.475924516877485e-06 8.526013021697349e-06 8.541441132832288e-06 8.451355592243025e-06 8.656439616090055e-06 8.236640013629883e-06 8.480814050264018e-06 8.568637733542e-06 8.348101141513723e-06 8.431728425455878e-06 8.761454319750433e-06 8.815993324298696e-06
10	7.060024416907637e-06 7.2322941165147305e-06 7.206165508527295e-06 7.26690768080122e-06 7.556078893378889e-06 7.6040134492611855e-06 7.652202582775432e-06 7.5351728982736704e-06 7.666896922400553e-06 7.656597034607002e-06 7.741027148044557e-06 7.727884737666192e-06 7.737194631833063e-06 7.643942956336437e-06 7.658733886687622e-06 7.786426196762342e-06 7.677556358525454e-06 7.637423640656922e-06 7.624933677585633e-06 7.497813303530889e-06 7.488064165931002e-06 7.5138002908110204e-06 7.423355507300663e-06 7.6026768906527734e-06 7.5677033309722265e-06 7.378759292844627e-06 7.509938328376886e-06 7.592334648828123e-06 7.481073030462715e-06 7.524315370117445e-06 7.535015262053701e-06 7.437165596538714e-06 7.501170169659361e-06 7.606272236471072e-06 7.51156165194068e-06 7.75014274474541e-06 7.644633440840198e-06 7.653057824329575e-06 8.049229022956002e-06 8.006443957290367e-06 8.187012427463262e-06 8.264665824457037e-06 8.248251434907523e-06 8.23243286034368e-06 8.434571402192808e-06 8.46353487358608e-06 8.351863120815017e-06 8.527074429651012e-06 8.367548802889138e-06 8.535089619677812e-06 8.403263776534739e-06 8.513459471130103e-06 8.629015396842365e-06 8.32837844276632e-06 8.576796740475253e-06 8.608623695076521e-06 8.669217653427002e-06 8.646027749494522e-06 8.699440270139621e-06 8.785436191337296e-06 8.807171447374983e-06 8.749093044325405e-06 8.980107427197367e-06 8.518071422712251e-06 8.835224709506906e-06 8.795461919162291e-06 8.585565841646365e-06 8.72976987176925e-06 8.9923605996401e-06 9.02627237358014e-06
