pixel,1386A,1391A,1396A,1401A,1406A,1411A,1416A,1421A,1426A,1431A,1436A,1441A,1446A,1451A,1456A,1461A,1466A,1471A,1476A,1481A,1486A,1491A,1496A,1501A,1506A,1511A,1516A,1521A,1526A,1531A,1536A,1541A,1546A,1551A,1556A,1578A,1583A,1588A,1593A,1598A,1603A,1608A,1613A,1618A,1623A,1628A,1633A,1638A,1643A,1648A,1653A,1658A,1663A,1668A,1673A,1678A,1683A,1688A,1693A,1698A,1703A,1708A,1713A,1718A,1723A,1728A,1733A,1738A,1743A,1748A
1	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2	6.309018476311659e-06 6.243508555476574e-06 6.4482237781858916e-06 6.621447957098049e-06 6.403819795943995e-06 6.491305584239754e-06 6.524807005476072e-06 6.55702296403978e-06 6.518450179674399e-06 6.593055812788684e-06 6.6353236910368894e-06 6.598512128573449e-06 6.7057623510585e-06 6.6289132615117975e-06 6.557993245301665e-06 6.333772417226301e-06 6.2963208258520734e-06 6.287060993697709e-06 6.4083954135265814e-06 6.24328542075261e-06 6.268169813921365e-06 6.359271176711514e-06 6.270577865829414e-06 6.2689947114328605e-06 6.573160487239007e-06 6.498012285561907e-06 6.639324274045953e-06 6.621275657966253e-06 6.482992992126507e-06 6.88289384695197e-06 6.938450415935611e-06 6.811034519045618e-06 6.9785525696682435e-06 7.218700626853154e-06 7.134256149677401e-06 7.250090528351716e-06 7.3319114479470055e-06 7.246884018282036e-06 7.301291811146976e-06 7.347414320779184e-06 7.69599287015077e-06 7.4208416339409485e-06 7.446783176626052e-06 7.57566432833985e-06 7.662390833204051e-06 7.4955323260136874e-06 7.369138788837135e-06 7.492998479037188e-06 7.5150671917690605e-06 7.4570794709766624e-06 7.251399983145585e-06 7.3209163309366095e-06 7.5022311342455705e-06 7.47951691828674e-06 7.2464816277034595e-06 7.272350934819848e-06 7.164143928994501e-06 7.189746442458208e-06 7.306745219070106e-06 7.341796022089629e-06 7.170769997127226e-06 7.003540958068069e-06 6.997554243395545e-06 7.033378308005283e-06 7.216793537610746e-06 7.096837883642173e-06 6.94586128220697e-06 7.261476167412621e-06 7.130018526887717e-06 7.358428602966947e-06
3	6.32010785783877e-06 6.29222891108316e-06 6.5243150250827925e-06 6.765870150608615e-06 6.532131809020169e-06 6.556909820139691e-06 6.640849414790611e-06 6.686911888262623e-06 6.673956763299724e-06 6.684046579664223e-06 6.758741646893724e-06 6.697183022194562e-06 6.742625898584013e-06 6.6821070989242985e-06 6.645504302211561e-06 6.409778705036763e-06 6.358393449662685e-06 6.357574078631862e-06 6.483447157155582e-06 6.356234444708019e-06 6.3498742349876145e-06 6.453550938337401e-06 6.415625769377115e-06 6.361469814095524e-06 6.670981207739637e-06 6.5938393939184306e-06 6.662043578390747e-06 6.676316830305969e-06 6.51938782418692e-06 6.9451105150153905e-06 6.978018915962409e-06 6.881784869377115e-06 6.972271119806295e-06 7.266423818604497e-06 7.229946812800853e-06 7.25433865040058e-06 7.431710866645799e-06 7.367261880865256e-06 7.431814375239301e-06 7.4413462261578336e-06 7.79050478850992e-06 7.479039445550085e-06 7.61465822743225e-06 7.708514309212595e-06 7.816158188288644e-06 7.697238177006009e-06 7.516450112350445e-06 7.717094924039128e-06 7.667835210400869e-06 7.692691691699968e-06 7.459223329477455e-06 7.517625529801015e-06 7.64816298472926e-06 7.628997690366616e-06 7.398100672276592e-06 7.4663830807382415e-06 7.287174951334047e-06 7.249889735997313e-06 7.442489697138896e-06 7.430343594570077e-06 7.271658884110785e-06 7.158609091099657e-06 7.08948411975192e-06 7.146089055669513e-06 7.353609345115944e-06 7.261950789513394e-06 7.136827253071402e-06 7.465189409751756e-06 7.248907778471398e-06 7.490863957478459e-06
4	6.330571924519592e-06 6.325526476859029e-06 6.565672971114672e-06 6.820384066931437e-06 6.60083104985593e-06 6.581764781072859e-06 6.702588502335825e-06 6.754719755126392e-06 6.798186462853306e-06 6.768130588985245e-06 6.83985535433911e-06 6.774376672783157e-06 6.768854633597191e-06 6.72426702471394e-06 6.7012503428128714e-06 6.462604553388336e-06 6.454255348537782e-06 6.425817052023174e-06 6.540926727904066e-06 6.483434442108092e-06 6.445687963781536e-06 6.577280393761343e-06 6.578899337284284e-06 6.476224303280423e-06 6.770373386150839e-06 6.710257994759253e-06 6.674699404672845e-06 6.733996077956681e-06 6.604702932972502e-06 6.992723536388504e-06 7.011526662724793e-06 6.952105935014658e-06 6.981055030231164e-06 7.287873376382081e-06 7.321990264541047e-06 7.291026755740031e-06 7.498643368811638e-06 7.4767057028188704e-06 7.515135364587989e-06 7.5026842770925085e-06 7.814463086913392e-06 7.534772569706077e-06 7.73808673044241e-06 7.820324396333571e-06 7.93183452779816e-06 7.836082044834687e-06 7.660554439813943e-06 7.895506994380468e-06 7.760587582849027e-06 7.884869233338248e-06 7.612802147922449e-06 7.628851411979783e-06 7.72842520612684e-06 7.709328644238746e-06 7.533511311209469e-06 7.608406250090488e-06 7.378266073517986e-06 7.3133477171470484e-06 7.527044548907313e-06 7.538590134706749e-06 7.379787002626247e-06 7.353853347134742e-06 7.218520716587027e-06 7.268346947859729e-06 7.461904739814626e-06 7.418202326530382e-06 7.315386682088106e-06 7.594440581647642e-06 7.354046414756395e-06 7.571118608840074e-06
5	6.346491788682978e-06 6.353643654946479e-06 6.58283881976323e-06 6.808897822633931e-06 6.636151677509329e-06 6.6010246698952685e-06 6.725358593136727e-06 6.783707382410039e-06 6.921626713726401e-06 6.871329711217805e-06 6.91295048656054e-06 6.865504875523633e-06 6.808145693655185e-06 6.787363420763359e-06 6.76581696883963e-06 6.5317188653102e-06 6.574481522865415e-06 6.521294102975259e-06 6.595530083470415e-06 6.628836167022724e-06 6.5892262755860274e-06 6.737997446699894e-06 6.754867345209928e-06 6.643179065561013e-06 6.885205668415899e-06 6.844279856539283e-06 6.73282174415778e-06 6.813215548600623e-06 6.725550860042693e-06 7.045933722788309e-06 7.04545465880524e-06 7.047684294338942e-06 7.0069453988778196e-06 7.301780933448163e-06 7.409451757177646e-06 7.372099379602977e-06 7.556439991499943e-06 7.596865860617994e-06 7.6178126239737515e-06 7.566932313774969e-06 7.835305193415154e-06 7.6202099645458344e-06 7.82982339724246e-06 7.930526275439696e-06 8.034379931032417e-06 7.94650014271493e-06 7.82244458011919e-06 8.062860771250054e-06 7.84055370699288e-06 8.03471552606019e-06 7.727573185099304e-06 7.689304686895667e-06 7.782823463411868e-06 7.774049656922583e-06 7.684251936409332e-06 7.754292611274182e-06 7.478046407350679e-06 7.414872287731283e-06 7.610970732933897e-06 7.6712653217309e-06 7.53459871282431e-06 7.579580074257582e-06 7.3764122141096356e-06 7.406104234945247e-06 7.563055750292992e-06 7.580327618738555e-06 7.503758726092736e-06 7.713256417104992e-06 7.480311835234615e-06 7.646155129397542e-06
6	6.361603943394237e-06 6.378625027303766e-06 6.570661902274282e-06 6.731144416658987e-06 6.624326632345813e-06 6.612195911666116e-06 6.704114275297592e-06 6.767397527213868e-06 7.0122610207689435e-06 6.970808911222376e-06 6.964117757793148e-06 6.959384109789397e-06 6.862923385811153e-06 6.873362395909062e-06 6.84701944036276e-06 6.63235623530643e-06 6.6980929814244975e-06 6.635188300388352e-06 6.657296744179756e-06 6.777714046756465e-06 6.774042191438272e-06 6.9072656603087675e-06 6.9299418846470995e-06 6.871096401360231e-06 7.0161793255103874e-06 6.9746328971642985e-06 6.847538221983165e-06 6.925297455450357e-06 6.8633006434484225e-06 7.104878052373919e-06 7.077487702991898e-06 7.1561963866160475e-06 7.061708333738263e-06 7.30316368026143e-06 7.473726269006779e-06 7.480380736564061e-06 7.61401018571819e-06 7.721163471327164e-06 7.747312957537103e-06 7.630851198841634e-06 7.85515661932331e-06 7.720516623901105e-06 7.875159041381993e-06 8.015162790816341e-06 8.105261053901521e-06 8.016054092172931e-06 7.974469881863916e-06 8.186958801287166e-06 7.904167087048976e-06 8.108822135017858e-06 7.800820451246614e-06 7.715376828981303e-06 7.816653197542604e-06 7.831610044548685e-06 7.845914223298414e-06 7.90082014959037e-06 7.596760855762653e-06 7.5459152640990846e-06 7.70166718691281e-06 7.807320700227862e-06 7.72510958039277e-06 7.79633188391574e-06 7.5437505809249815e-06 7.554879267083991e-06 7.663969810169406e-06 7.73817862531666e-06 7.694507978838982e-06 7.841321722468624e-06 7.637099496959034e-06 7.72946402722747e-06
7	6.379184244886342e-06 6.403691252930011e-06 6.543596403714042e-06 6.626954672862605e-06 6.579852500431279e-06 6.612933612638112e-06 6.66392851489978e-06 6.738999581861757e-06 7.054388695740062e-06 7.048094031935623e-06 7.0019091091037104e-06 7.044730954889253e-06 6.94151262447473e-06 6.979289023723362e-06 6.94741094705858e-06 6.766979480146283e-06 6.823525176495324e-06 6.756662296449217e-06 6.743885444384005e-06 6.938593442365951e-06 6.983289127162343e-06 7.069454441855129e-06 7.124577035998747e-06 7.154742256424245e-06 7.168526671925371e-06 7.1019604266704666e-06 7.001537797708005e-06 7.075137932177393e-06 7.003301754252102e-06 7.179013592524048e-06 7.1279353221405964e-06 7.273334961056268e-06 7.155420643728219e-06 7.298500784587228e-06 7.516601198334068e-06 7.5890444538284455e-06 7.688894135085398e-06 7.849973780158695e-06 7.893684944087512e-06 7.690644706171415e-06 7.86923069853874e-06 7.818112797669405e-06 7.891771570913542e-06 8.065970522507681e-06 8.140060835244247e-06 8.054896160724526e-06 8.098641447682777e-06 8.263786091080867e-06 7.948694809226571e-06 8.12432482885453e-06 7.859915698235684e-06 7.751942754768458e-06 7.850903077383837e-06 7.897030673378612e-06 8.016340095363202e-06 8.049343374975718e-06 7.739335975521712e-06 7.685812185354576e-06 7.806443387393096e-06 7.936035486336202e-06 7.920297383606563e-06 7.97973820432004e-06 7.713957976729943e-06 7.7249354020813e-06 7.794928335146282e-06 7.90370712371149e-06 7.901946575380606e-06 8.01461047967741e-06 7.83662999571187e-06 7.848353618596278e-06
8	6.410075033802227e-06 6.426076319000877e-06 6.514651591896546e-06 6.536773460584308e-06 6.525016264846735e-06 6.6075900152132735e-06 6.633113017414437e-06 6.731781736400059e-06 7.052311975635499e-06 7.092713485587274e-06 7.034128258740782e-06 7.106141557105634e-06 7.042158345947625e-06 7.096161572094545e-06 7.0551689482231875e-06 6.913291677659416e-06 6.961626159810217e-06 6.883903624783024e-06 6.855221300328191e-06 7.119977487953821e-06 7.194831110630512e-06 7.224742349178395e-06 7.352445420218851e-06 7.4610436676753965e-06 7.3399087507440155e-06 7.239265302123101e-06 7.169441093888019e-06 7.248968484332694e-06 7.146131601172964e-06 7.278910903717947e-06 7.223056153957089e-06 7.405331393188766e-06 7.278776655586493e-06 7.30522367702517e-06 7.546406682686204e-06 7.676543639740442e-06 7.784077536496313e-06 7.984146857191338e-06 8.020188190325766e-06 7.73697012438836e-06 7.867727146638713e-06 7.896133901038088e-06 7.897177647453636e-06 8.080445923654934e-06 8.133548940025044e-06 8.071829146731738e-06 8.185828441794173e-06 8.296396752860129e-06 7.976603943788695e-06 8.114282006756857e-06 7.921028220942057e-06 7.82398384598807e-06 7.89812531992911e-06 7.97412209878701e-06 8.177064032018316e-06 8.188533181248935e-06 7.893492173402045e-06 7.823123638551718e-06 7.917461882960309e-06 8.059434360673996e-06 8.084565342184217e-06 8.12670433159944e-06 7.88954225153262e-06 7.924046817876437e-06 7.985065551787233e-06 8.0892673934163e-06 8.133602157327315e-06 8.244606053433151e-06 8.079058558035355e-06 8.01613638731792e-06
9	6.460985236973308e-06 6.442156526096058e-06 6.488988447038112e-06 6.482817289156658e-06 6.482483787269499e-06 6.609718570710276e-06 6.6377825227732675e-06 6.75839530817774e-06 7.026829086785165e-06 7.1144851993651945e-06 7.063494938320484e-06 7.133128937326289e-06 7.150593935434929e-06 7.208719716193739e-06 7.162324536985913e-06 7.0490544093077865e-06 7.1097816052670654e-06 7.028820802802145e-06 6.984084747084147e-06 7.314685640227103e-06 7.395896845899559e-06 7.385792005334482e-06 7.600573147457251e-06 7.743249532223096e-06 7.530801461735514e-06 7.402949369006502e-06 7.338755861935505e-06 7.426564767290246e-06 7.29503065793753e-06 7.407916533942374e-06 7.3677292202857435e-06 7.55809841139478e-06 7.411313783298533e-06 7.345424560496036e-06 7.588027641782513e-06 7.739040325963726e-06 7.889858857882664e-06 8.109204333600687e-06 8.095088676321653e-06 7.761123024190128e-06 7.843204806844225e-06 7.938603385580233e-06 7.902486360880079e-06 8.068138135401075e-06 8.09478213176621e-06 8.079212436806451e-06 8.230482209831971e-06 8.292661556727224e-06 8.010552924613946e-06 8.103445344544101e-06 7.994217397892809e-06 7.923228147305795e-06 7.954912374108749e-06 8.064504772144032e-06 8.30561342802183e-06 8.303370123673919e-06 8.048484583461118e-06 7.964293102755185e-06 8.037431401923347e-06 8.19074066386161e-06 8.211065757484081e-06 8.262477817549267e-06 8.081510451621653e-06 8.153534103729817e-06 8.246638765859605e-06 8.301635906687195e-06 8.390459706467486e-06 8.519390507507479e-06 8.36214592037945e-06 8.232681845072665e-06
10	6.521540811281657e-06 6.448536099959429e-06 6.469458614950787e-06 6.466129495515495e-06 6.473202315736536e-06 6.629553936329805e-06 6.691219785499669e-06 6.813380741129718e-06 6.9987766198231795e-06 7.125800919064175e-06 7.089812649444844e-06 7.125004124514636e-06 7.245260709060502e-06 7.298231155232461e-06 7.271537099728835e-06 7.168565848173636e-06 7.248243857300377e-06 7.2015317854626325e-06 7.13571316716223e-06 7.50929685174135e-06 7.583044136904451e-06 7.564654444008467e-06 7.841403017545246e-06 7.960621700602212e-06 7.740088909052072e-06 7.599809265886462e-06 7.5031694828083715e-06 7.588878042753057e-06 7.443171107933773e-06 7.5514990625585376e-06 7.543708364228526e-06 7.726064855227092e-06 7.552216162013818e-06 7.4396035510480485e-06 7.672387412129646e-06 7.782732394893265e-06 7.98391164942383e-06 8.1880729512205e-06 8.104222781495734e-06 7.758199128081043e-06 7.792732929198211e-06 7.93699934873971e-06 7.910015247023334e-06 8.045947299605468e-06 8.048963079518988e-06 8.081956178941578e-06 8.237514808998913e-06 8.272718957301247e-06 8.069182329244683e-06 8.099905466864873e-06 8.081943298306937e-06 8.018340654264263e-06 8.010130239303166e-06 8.163508145187384e-06 8.390773435506481e-06 8.38211464648801e-06 8.200301785959491e-06 8.120180541255596e-06 8.18770860946612e-06 8.34573199426101e-06 8.321092392742647e-06 8.418145048916649e-06 8.30205930199716e-06 8.406848211285637e-06 8.562131472065292e-06 8.544958405622468e-06 8.681211830092489e-06 8.817599235572518e-06 8.682694997312744e-06 8.491714906472116e-06
