STIS Model Line Spread Function vs Aperture at 120 nm
Rel pixel      52x0.1    52x0.2    52x0.5    52x2.0
-34.765        0.0000    0.0000    0.0000    0.0004
-34.640        0.0000    0.0000    0.0000    0.0006
-34.514        0.0000    0.0000    0.0000    0.0008
-34.389        0.0000    0.0000    0.0000    0.0010
-34.263        0.0000    0.0000    0.0000    0.0012
-34.138        0.0000    0.0000    0.0000    0.0013
-34.012        0.0000    0.0000    0.0000    0.0014
-33.887        0.0000    0.0000    0.0000    0.0015
-33.761        0.0000    0.0000    0.0000    0.0015
-33.636        0.0000    0.0000    0.0000    0.0015
-33.510        0.0000    0.0000    0.0000    0.0015
-33.385        0.0000    0.0000    0.0000    0.0016
-33.259        0.0000    0.0000    0.0000    0.0016
-33.134        0.0000    0.0000    0.0000    0.0016
-33.008        0.0000    0.0000    0.0000    0.0016
-32.883        0.0000    0.0000    0.0000    0.0016
-32.757        0.0000    0.0000    0.0000    0.0017
-32.632        0.0000    0.0000    0.0000    0.0017
-32.506        0.0000    0.0000    0.0000    0.0017
-32.381        0.0000    0.0000    0.0000    0.0017
-32.255        0.0000    0.0000    0.0000    0.0017
-32.130        0.0000    0.0000    0.0000    0.0018
-32.004        0.0000    0.0000    0.0000    0.0018
-31.879        0.0000    0.0000    0.0000    0.0018
-31.753        0.0000    0.0000    0.0000    0.0018
-31.628        0.0000    0.0000    0.0000    0.0018
-31.502        0.0000    0.0000    0.0000    0.0019
-31.377        0.0000    0.0000    0.0000    0.0019
-31.251        0.0000    0.0000    0.0000    0.0019
-31.126        0.0000    0.0000    0.0000    0.0019
-31.000        0.0000    0.0000    0.0000    0.0019
-30.875        0.0000    0.0000    0.0000    0.0020
-30.749        0.0000    0.0000    0.0000    0.0020
-30.624        0.0000    0.0000    0.0000    0.0020
-30.498        0.0000    0.0000    0.0000    0.0020
-30.373        0.0000    0.0000    0.0000    0.0021
-30.247        0.0000    0.0000    0.0000    0.0021
-30.122        0.0000    0.0000    0.0000    0.0021
-29.996        0.0000    0.0000    0.0000    0.0021
-29.871        0.0000    0.0000    0.0000    0.0021
-29.745        0.0000    0.0000    0.0000    0.0022
-29.620        0.0000    0.0000    0.0000    0.0022
-29.494        0.0000    0.0000    0.0000    0.0022
-29.369        0.0000    0.0000    0.0000    0.0022
-29.243        0.0000    0.0000    0.0000    0.0022
-29.118        0.0000    0.0000    0.0000    0.0023
-28.992        0.0000    0.0000    0.0000    0.0023
-28.867        0.0000    0.0000    0.0000    0.0023
-28.741        0.0000    0.0000    0.0000    0.0023
-28.616        0.0000    0.0000    0.0000    0.0023
-28.490        0.0000    0.0000    0.0000    0.0024
-28.365        0.0000    0.0000    0.0000    0.0024
-28.239        0.0000    0.0000    0.0000    0.0024
-28.114        0.0000    0.0000    0.0000    0.0024
-27.988        0.0000    0.0000    0.0000    0.0024
-27.863        0.0000    0.0000    0.0000    0.0025
-27.737        0.0000    0.0000    0.0000    0.0025
-27.612        0.0000    0.0000    0.0000    0.0025
-27.486        0.0000    0.0000    0.0000    0.0025
-27.361        0.0000    0.0000    0.0000    0.0026
-27.235        0.0000    0.0000    0.0000    0.0026
-27.110        0.0000    0.0000    0.0000    0.0026
-26.984        0.0000    0.0000    0.0000    0.0027
-26.859        0.0000    0.0000    0.0000    0.0027
-26.733        0.0000    0.0000    0.0000    0.0027
-26.608        0.0000    0.0000    0.0000    0.0027
-26.482        0.0000    0.0000    0.0000    0.0028
-26.357        0.0000    0.0000    0.0000    0.0028
